target_id,target_url,target_title,target_model,target_version,target_price_gross_eur,target_price_net_eur,target_year,target_km,target_fuel,target_transmission,target_power_hp,target_displacement_cc,match_level,market_sample_size,market_minimum_eur,market_median_eur,market_maximum_eur,comparable_id,source,used_for_price,comparable_title,price_eur,km,year,version,fuel,transmission,power_hp,displacement_cc,url
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,71248688,coches_net,True,FORD Focus 1.0 Ecoboost MHEV STLine,18990.0,57000,2023,1.0 Ecoboost MHEV STLine,Híbrido,,155,999,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-stline-5p-electrico-hibrido-2024-en-barcelona-71248688-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,71248699,coches_net,True,FORD Focus 1.0 Ecoboost MHEV STLine,18990.0,59000,2023,1.0 Ecoboost MHEV STLine,Híbrido,,155,999,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-stline-5p-electrico-hibrido-2024-en-barcelona-71248699-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,71129643,coches_net,True,FORD Focus 1.0 Ecoboost MHEV Active,19700.0,33026,2022,1.0 Ecoboost MHEV Active,Híbrido,,155,999,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-active-5p-electrico-hibrido-2022-en-barcelona-71129643-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,71068721,coches_net,True,FORD Focus STLine 1.0T EcoBoost mHEV,25290.0,2,2025,STLine 1.0T EcoBoost mHEV,Híbrido,,125,999,https://www.coches.net/ford-focus-stline-10t-ecoboost-mhev-92kw-125cv-5p-electrico-hibrido-2025-en-sevilla-71068721-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,71120099,coches_net,True,FORD Focus 1.0 Ecoboost MHEV STLine,22985.0,36,2023,1.0 Ecoboost MHEV STLine,Híbrido,,125,999,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-stline-5p-electrico-hibrido-2022-en-las-palmas-71120099-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,71244781,coches_net,True,FORD Focus 1.0 Ecoboost MHEV STLine X,18990.0,29928,2023,1.0 Ecoboost MHEV STLine X,Híbrido,,155,999,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-stline-x-5p-electrico-hibrido-2024-en-murcia-71244781-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,70215788,coches_net,True,FORD Focus 1.0 Ecoboost MHEV STLine,16990.0,55000,2023,1.0 Ecoboost MHEV STLine,Híbrido,,125,999,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-stline-5p-electrico-hibrido-2022-en-sta-c-tenerife-70215788-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,70729437,coches_net,True,FORD Focus 1.0 Ecob. MHEV Active Style SIP SB,17990.0,44308,2023,1.0 Ecob. MHEV Active Style SIP SB,Híbrido,,155,999,https://www.coches.net/ford-focus-10-ecob-mhev-114kw-active-style-sip-sb-5p-electrico-hibrido-2022-en-madrid-70729437-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,71163362,coches_net,True,FORD Focus 1.0 Ecoboost MHEV STLine,19985.0,39350,2024,1.0 Ecoboost MHEV STLine,Híbrido,,125,999,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-stline-5p-electrico-hibrido-2022-en-sta-c-tenerife-71163362-covo.aspx
443938979,https://www.mobile.de/es/veh%C3%ADculos/detalles.html?id=443938979,Ford Focus Titanium X Turnier*AUT*NAVI,Focus,Titanium X Turnier*AUT*NAVI,31980.0,26873.95,2026,1050,Híbrido (gasolina/eléctrico),Automático,155,999,broad,50,15550.0,18990.0,28500.0,71163329,coches_net,True,FORD Focus 1.0 Ecoboost MHEV STLine,19985.0,39350,2024,1.0 Ecoboost MHEV STLine,Híbrido,,125,999,https://www.coches.net/ford-focus-10-ecoboost-mhev-92kw-stline-5p-electrico-hibrido-2022-en-las-palmas-71163329-covo.aspx
